,GDAY_DS,T_ID,VS_T_ID,WLS,BF,ball_count,year,pitcher_data_p_lose_score,P_WHIP_RT
0,20160401,LG,HH,W,184,32.115286776254464,2016,inf,1.0690503769093893
1,20160401,HH,LG,L,196,44.115286776254464,2016,5.978151166913131,0.9915485209230739
2,20160401,NC,HT,W,143,-8.884713223745536,2016,5.57589620797536,1.1389219336225982
3,20160401,HT,NC,L,147,-4.8847132237455355,2016,inf,1.367540131090048
4,20160401,SK,KT,L,151,-0.8847132237455355,2016,inf,1.1438500300299619
5,20160401,KT,SK,W,147,-4.8847132237455355,2016,,0.9258644397147244
6,20160401,WO,LT,L,145,-6.8847132237455355,2016,5.934485324269071,1.4772979206561154
7,20160401,LT,WO,W,138,-13.884713223745536,2016,inf,1.2574215367976866
8,20160401,SS,OB,L,147,-4.8847132237455355,2016,inf,1.5511663758024308
9,20160401,OB,SS,W,146,-5.8847132237455355,2016,5.603472623940879,1.3281872491512654
10,20160402,LG,HH,W,176,24.115286776254464,2016,inf,1.0690503769093893
11,20160402,HH,LG,L,222,70.11528677625446,2016,5.978151166913131,0.9915485209230739
12,20160402,NC,HT,L,152,0.11528677625446448,2016,5.575896207975358,1.1389219336225982
13,20160402,HT,NC,W,146,-5.8847132237455355,2016,inf,1.367540131090048
14,20160402,SK,KT,W,162,10.115286776254464,2016,inf,1.1438500300299619
15,20160402,KT,SK,L,173,21.115286776254464,2016,,0.9258644397147244
16,20160402,WO,LT,W,167,15.115286776254464,2016,5.93448532426907,1.4772979206561154
17,20160402,LT,WO,L,127,-24.884713223745536,2016,inf,1.2574215367976866
18,20160402,SS,OB,W,160,8.115286776254464,2016,inf,1.5511663758024308
19,20160402,OB,SS,L,135,-16.884713223745536,2016,5.603472623940878,1.3281872491512654
20,20160403,SK,KT,L,167,15.115286776254464,2016,inf,1.1438500300299619
21,20160403,KT,SK,W,158,6.1152867762544645,2016,,0.9258644397147244
22,20160403,WO,LT,W,152,0.11528677625446448,2016,5.934485324269069,1.4772979206561154
23,20160403,LT,WO,L,178,26.115286776254464,2016,inf,1.2574215367976866
24,20160405,HT,LG,W,137,-14.884713223745536,2016,inf,0.9915485209230739
25,20160405,LG,HT,L,123,-28.884713223745536,2016,inf,1.1389219336225982
26,20160405,OB,NC,W,146,-5.8847132237455355,2016,5.60347262394088,1.367540131090048
27,20160405,NC,OB,L,156,4.1152867762544645,2016,5.575896207975358,1.5511663758024308
28,20160405,LT,SK,W,152,0.11528677625446448,2016,inf,0.9258644397147244
29,20160405,SK,LT,L,111,-40.884713223745536,2016,inf,1.4772979206561154
30,20160405,KT,SS,W,181,29.115286776254464,2016,,1.3281872491512654
31,20160405,SS,KT,L,159,7.1152867762544645,2016,inf,1.1438500300299619
32,20160405,HH,WO,W,180,28.115286776254464,2016,5.978151166913131,1.2574215367976866
33,20160405,WO,HH,L,129,-22.884713223745536,2016,5.934485324269069,1.0690503769093893
34,20160406,OB,NC,W,118,-33.884713223745536,2016,5.603472623940878,1.367540131090048
35,20160406,NC,OB,L,133,-18.884713223745536,2016,5.575896207975359,1.5511663758024308
36,20160406,LT,SK,W,74,-77.88471322374554,2016,inf,0.9258644397147244
37,20160406,SK,LT,L,112,-39.884713223745536,2016,inf,1.4772979206561154
38,20160406,KT,SS,L,170,18.115286776254464,2016,,1.3281872491512654
39,20160406,SS,KT,W,138,-13.884713223745536,2016,inf,1.1438500300299619
40,20160406,HH,WO,L,177,25.115286776254464,2016,5.978151166913131,1.2574215367976866
41,20160406,WO,HH,W,124,-27.884713223745536,2016,5.9344853242690725,1.0690503769093893
42,20160407,HT,LG,L,162,10.115286776254464,2016,inf,0.9915485209230739
43,20160407,LG,HT,W,137,-14.884713223745536,2016,inf,1.1389219336225982
44,20160407,OB,NC,L,159,7.1152867762544645,2016,5.603472623940878,1.367540131090048
45,20160407,NC,OB,W,156,4.1152867762544645,2016,5.57589620797536,1.5511663758024308
46,20160407,LT,SK,L,156,4.1152867762544645,2016,inf,0.9258644397147244
47,20160407,SK,LT,W,143,-8.884713223745536,2016,inf,1.4772979206561154
48,20160407,KT,SS,L,187,35.115286776254464,2016,,1.3281872491512654
49,20160407,SS,KT,W,139,-12.884713223745536,2016,inf,1.1438500300299619
50,20160407,HH,WO,L,141,-10.884713223745536,2016,5.978151166913131,1.2574215367976866
51,20160407,WO,HH,W,156,4.1152867762544645,2016,5.934485324269071,1.0690503769093893
52,20160408,NC,HH,W,150,-1.8847132237455355,2016,5.575896207975358,1.0690503769093893
53,20160408,HH,NC,L,167,15.115286776254464,2016,5.978151166913131,1.367540131090048
54,20160408,KT,HT,W,143,-8.884713223745536,2016,,1.1389219336225982
55,20160408,HT,KT,L,119,-32.884713223745536,2016,inf,1.1438500300299619
56,20160408,SK,LG,W,121,-30.884713223745536,2016,inf,0.9915485209230739
57,20160408,LG,SK,L,142,-9.884713223745536,2016,inf,0.9258644397147244
58,20160408,LT,SS,L,168,16.115286776254464,2016,inf,1.3281872491512654
59,20160408,SS,LT,W,147,-4.8847132237455355,2016,inf,1.4772979206561154
60,20160408,OB,WO,W,164,12.115286776254464,2016,5.603472623940878,1.2574215367976866
61,20160408,WO,OB,L,176,24.115286776254464,2016,5.934485324269071,1.5511663758024308
62,20160409,NC,HH,W,104,-47.884713223745536,2016,5.575896207975358,1.0690503769093893
63,20160409,HH,NC,L,160,8.115286776254464,2016,5.978151166913131,1.367540131090048
64,20160409,KT,HT,L,171,19.115286776254464,2016,,1.1389219336225982
65,20160409,HT,KT,W,148,-3.8847132237455355,2016,inf,1.1438500300299619
66,20160409,SK,LG,W,154,2.1152867762544645,2016,inf,0.9915485209230739
67,20160409,LG,SK,L,120,-31.884713223745536,2016,inf,0.9258644397147244
